Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude
07419,46.0,8654.0,7794.0,851.0,0.09833602958169632,85225.0,Hamburg,Sussex,41.156187,-74.57094000000001
07420,40.5,5248.0,4162.0,1045.0,0.1991234756097561,80614.0,Haskell,Passaic,41.026747,-74.29741999999999
07421,43.9,7351.0,6876.0,450.0,0.061216161066521564,90412.0,Hewitt,Passaic,41.173445,-74.37404000000001
07422,42.9,6466.0,6181.0,250.0,0.03866377977111042,86250.0,Highland Lakes,Sussex,41.180137,-74.45489
07423,43.1,4162.0,3671.0,491.0,0.11797212878423835,176518.0,Ho Ho Kus,Bergen,41.001695,-74.10239
07424,41.1,27066.0,21186.0,5275.0,0.19489396290549027,79302.0,Little Falls,Passaic,40.886628,-74.21405
07430,39.7,26581.0,21186.0,5135.0,0.1931831007110342,107215.0,Mahwah,Bergen,41.077102000000004,-74.16147
07432,43.2,7336.0,6591.0,666.0,0.09078516902944384,105313.0,Midland Park,Bergen,40.993120000000005,-74.14286
07435,41.0,2790.0,2600.0,183.0,0.06559139784946237,124500.0,Newfoundland,Passaic,41.045897,-74.43677
07436,42.8,13145.0,11368.0,1708.0,0.12993533662989729,112944.0,Oakland,Bergen,41.028884000000005,-74.23727
07438,44.5,11537.0,10706.0,773.0,0.06700182023056253,106035.0,Oak Ridge,Passaic,41.029555,-74.5071
07439,40.3,2500.0,2271.0,183.0,0.0732,84167.0,Ogdensburg,Sussex,41.080065999999995,-74.5972
07440,43.3,4270.0,3936.0,315.0,0.07377049180327869,104236.0,Pequannock,Morris,40.946748,-74.29575
07442,41.8,11205.0,8645.0,2470.0,0.22043730477465417,92952.0,Pompton Lakes,Passaic,40.99948,-74.28806999999999
07444,50.4,11229.0,10138.0,810.0,0.07213465134918515,91060.0,Pompton Plains,Morris,40.964548,-74.29813
07446,45.0,15076.0,12964.0,1974.0,0.13093658795436455,137331.0,Ramsey,Bergen,41.058819,-74.14238
07450,41.3,25568.0,19443.0,5602.0,0.21910200250312892,162201.0,Ridgewood,Bergen,40.983996999999995,-74.11438000000001
07452,40.9,11962.0,10324.0,1485.0,0.12414311987961879,162443.0,Glen Rock,Bergen,40.961109,-74.12576
07456,42.7,12328.0,10732.0,1337.0,0.10845230369889682,115399.0,Ringwood,Passaic,41.096095,-74.26012
07457,40.9,4238.0,3711.0,517.0,0.12199150542708825,100602.0,Riverdale,Morris,40.990032,-74.31023
07458,45.9,11632.0,9349.0,2221.0,0.1909387895460798,176455.0,Saddle River,Bergen,41.054567999999996,-74.09616
07460,46.5,3400.0,3005.0,184.0,0.05411764705882353,96176.0,Stockholm,Sussex,41.091254,-74.52081
07461,45.7,18643.0,17530.0,981.0,0.05262028643458671,84676.0,Sussex,Sussex,41.229754,-74.60203
07462,40.4,6559.0,5932.0,479.0,0.07302942521725873,88223.0,Vernon,Sussex,41.193708,-74.5089
07463,42.4,9985.0,8357.0,1544.0,0.1546319479218828,115591.0,Waldwick,Bergen,41.013109,-74.12231
07465,50.1,6743.0,5858.0,832.0,0.12338721637253448,85545.0,Wanaque,Passaic,41.052958000000004,-74.28236
